time,topic,body
2025-04-30 20:33:06.462012+03,Auton_json/A405/0123/ProcessResult,"{""ClassId"": 22405, ""Current"": 83.7443618774414, ""StartDate"": ""2025-04-30T20:32:27.000Z""}"
2025-04-30 20:33:06.469548+03,Auton_json/A405/0123/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:29:48.000Z"", ""BatteryLevel"": 2, ""RemoteConnectionLevel"": 70}"
2025-04-30 20:33:06.474121+03,Auton_json/A605-10/0791/ProcessResult,"{""ClassId"": 22558, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""TemperatureC"": ""-38.700"", ""VibrationTemperatureC"": ""25.270"", ""XVibrationVelocityRmsMPerS"": ""0.06950"", ""YVibrationVelocityRmsMPerS"": ""0.00002"", ""ZVibrationVelocityRmsMPerS"": ""0.07209""}"
2025-04-30 20:33:06.477984+03,Auton_json/A605-10/0791/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:29:53.000Z"", ""BatteryLevel"": 8, ""RemoteConnectionLevel"": 46}"
2025-04-30 20:33:06.481594+03,Auton_json/A605-10/0792/ProcessResult,"{""ClassId"": 22606, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""TemperatureC"": ""-10.080"", ""VibrationTemperatureC"": ""15.600"", ""XVibrationDisplacementRmsM"": ""0.00069500"", ""YVibrationDisplacementRmsM"": ""0.00000020"", ""ZVibrationDisplacementRmsM"": ""0.00072090""}"
2025-04-30 20:33:06.485033+03,Auton_json/A605-10/0793/ProcessResult,"{""ClassId"": 22608, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""TemperatureC"": ""29.510"", ""VibrationTemperatureC"": ""26.990"", ""XVibrationAccelerationRmsMPerS2"": ""0.690"", ""YVibrationAccelerationRmsMPerS2"": ""0.000"", ""ZVibrationAccelerationRmsMPerS2"": ""0.720""}"
2025-04-30 20:33:06.488595+03,Auton_json/A835/0551/ProcessResult,"{""ClassId"": 22821, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""PressureAt"": ""1.6875079665""}"
2025-04-30 20:33:06.492924+03,Auton_json/A835/0551/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:29:48.000Z"", ""BatteryLevel"": 25, ""RemoteConnectionLevel"": 23}"
2025-04-30 20:33:06.505329+03,Auton_json/A835/0553/ProcessResult,"{""ClassId"": 22822, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""PressureAt"": ""1.3971437749"", ""TemperatureC"": ""26.990""}"
2025-04-30 20:33:06.509182+03,Auton_json/A835/0552/ProcessResult,"{""ClassId"": 22820, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""TemperatureC"": ""29.510""}"
2025-04-30 20:33:06.5128+03,Auton_json/A125/0326/ProcessResult,"{""ClassId"": 22125, ""Distance"": 10.568044662475586, ""StartDate"": ""2025-04-30T20:32:27.000Z""}"
2025-04-30 20:33:06.516383+03,Auton_json/A125/0326/DeviceState,"{""ClassId"": 19003, ""StartDate"": ""2025-04-30T20:29:53.000Z"", ""BatteryLevel"": 8, ""RemoteConnectionLevel"": 46}"
2025-04-30 20:33:06.52141+03,Auton_json/A205/0006/ProcessResult,"{""ClassId"": 22205, ""StartDate"": ""2025-04-30T20:32:27.000Z"", ""Concentration"": 0.8374435901641846, ""CasRegistryNumber"": 7783064}"
